id,title,location,city,price,original_price,discount,m2,rooms,air,terrace,storage,garage,outside,wardrobes,pool,garden,status,satus,has_elevator,property_type,floor_number,price_m2
100678099,Piso en venta en Gran Via de Carles III,Les Corts,Barcelona,335000.0,335000,0,71.0,3.0,0,0,0,0,0,0,0,0,0,Buen estado,1,0,0.0,4718.30985915493
100850024,"Piso en venta en calle dels Cavallers, 19",Pedralbes,Barcelona,850000.0,850000,0,112.0,4.0,1,1,0,1,1,1,1,0,0,Buen estado,1,2,1.0,7589.285714285715
101859091, Casa o chalet independiente en venta en Pedralbes,Les Corts,Barcelona,6340000.0,6340000,0,897.0,8.0,1,1,0,1,0,1,1,0,0,Buen estado,0,0,2.0,7068.004459308807
103263133,Piso en venta en calle del Capità Arenas,Pedralbes,Barcelona,795000.0,795000,0,154.0,6.0,0,0,0,0,0,0,0,0,0,Buen estado,0,0,2.0,5162.337662337663
104731635,Piso en venta en Pedralbes,Les Corts,Barcelona,1550000.0,1550000,0,214.0,5.0,0,1,0,0,1,0,0,0,0,Buen estado,1,2,10.0,7242.990654205608
103371658,Piso en venta en La Maternitat i Sant Ramon,Les Corts,Barcelona,360000.0,360000,0,73.0,1.0,1,1,0,0,1,1,0,0,0,Buen estado,1,2,6.0,4931.506849315068
105808038,Piso en venta en calle del Capitán Arenas,Pedralbes,Barcelona,795000.0,795000,0,154.0,3.0,1,1,0,0,1,1,0,0,0,Buen estado,1,2,0.0,5162.337662337663
98247675,Piso en venta en Pedralbes,Les Corts,Barcelona,2300000.0,2300000,0,340.0,4.0,1,1,0,1,1,1,1,0,0,Buen estado,1,2,4.0,6764.705882352941
104566134,Piso en venta en calle del Comte de Güell,La Maternitat i Sant Ramon,Barcelona,330000.0,330000,0,86.0,2.0,1,1,0,0,1,0,0,0,0,Buen estado,1,2,5.0,3837.2093023255816
86871582,Piso en venta en Pedralbes,Les Corts,Barcelona,2370000.0,2370000,0,320.0,5.0,1,1,1,1,1,1,0,0,0,Buen estado,1,2,1.0,7406.25
104012976,Piso en venta en calle del Capità Arenas,Pedralbes,Barcelona,795000.0,795000,0,154.0,6.0,0,0,0,0,0,0,0,0,0,Buen estado,0,0,2.0,5162.337662337663
103628289,Piso en venta en calle del Capitán Arenas,Pedralbes,Barcelona,795000.0,795000,0,154.0,3.0,0,0,0,0,1,1,0,0,0,Buen estado,0,0,2.0,5162.337662337663
105087211,Piso en venta en calle del Taquígraf Serra,Les Corts,Barcelona,430000.0,430000,0,92.0,4.0,0,1,0,0,1,0,0,0,0,Buen estado,1,2,1.0,4673.913043478261
105751888,Piso en venta en calle del Marquès de Sentmenat,Les Corts,Barcelona,349000.0,349000,0,90.0,4.0,0,0,0,0,1,0,0,0,0,Buen estado,1,2,1.0,3877.777777777778
103775048,Piso en venta en travesía de les Corts,La Maternitat i Sant Ramon,Barcelona,450000.0,450000,0,115.0,3.0,0,1,0,1,1,1,0,0,0,A reformar,1,2,1.0,3913.0434782608695
