,Unnamed: 0.1,Unnamed: 0,id,title,location,city,price,original_price,discount,m2,hab,floor,air,terrace,storage,elevator,garage,outside,wardrobes,pool,garden,satus,energy,co2,status
156,156,156,105387250,Piso en venta en calle de Manuel Ballbè s/n,Pedralbes,Barcelona,1350000.0,1350000,0,274.0,4.0,Planta 4ª con ascensor,False,True,False,True,False,False,False,True,False,Buen estado,,,
157,157,157,102458702,"Piso en venta en avenida de Sarrià, 51",Les Corts,Barcelona,1000000.0,1000000,0,171.0,4.0,Planta 3ª exterior con ascensor,True,False,False,True,False,True,True,False,False,Buen estado,,,
158,158,158,104852277,Piso en venta en calle de Manila,Pedralbes,Barcelona,870000.0,870000,0,122.0,4.0,Planta 5ª exterior con ascensor,True,True,False,True,True,True,True,True,False,Buen estado,,,
159,159,159,105566461,Piso en venta en calle de Benavent s/n,La Maternitat i Sant Ramon,Barcelona,315000.0,"
325000 €
",0,85.0,4.0,Planta 3ª interior con ascensor,False,False,False,True,False,False,False,False,False,Buen estado,,,
160,160,160,103632872,"Piso en venta en calle de Caballero, 12",Les Corts,Barcelona,429000.0,429000,0,78.0,3.0,Planta 1ª exterior con ascensor,False,True,False,True,True,True,False,False,False,Buen estado,,,
161,161,161,105222846,Piso en venta en calle de Loreto,Les Corts,Barcelona,405000.0,405000,0,58.0,1.0,,True,False,False,True,False,True,True,False,False,Buen estado,174,40,
162,162,162,105221994, Chalet adosado en venta en Passatge de Xile,La Maternitat i Sant Ramon,Barcelona,1450000.0,1450000,0,326.0,4.0,,True,True,True,False,True,False,True,False,False,Buen estado,203,,
163,163,163,103884412,Ático en venta en avenida de Madrid,La Maternitat i Sant Ramon,Barcelona,525000.0,525000,0,66.0,2.0,Planta 9ª exterior con ascensor,True,True,False,True,False,True,True,False,False,Buen estado,41,,
164,164,164,105435310,Piso en venta en avenida de Madrid,Les Corts,Barcelona,615000.0,615000,0,110.0,4.0,Planta 8ª exterior con ascensor,True,True,False,True,False,True,True,False,False,Buen estado,191,39,
165,165,165,105426973,Ático en venta en avenida de Madrid,La Maternitat i Sant Ramon,Barcelona,615000.0,615000,0,110.0,4.0,Planta 8ª exterior con ascensor,True,True,False,True,False,True,True,False,False,Buen estado,191,39,
166,166,166,105812322,Piso en venta en avenida de Pedralbes,Pedralbes,Barcelona,1550000.0,1550000,0,252.0,4.0,Planta 8ª exterior con ascensor,True,False,True,True,True,True,True,True,False,Buen estado,,,
167,167,167,105245858,Piso en venta en Jardí de Tòquio,Pedralbes,Barcelona,2500000.0,2500000,0,280.0,6.0,Planta 3ª exterior con ascensor,True,True,True,True,True,True,True,False,False,Buen estado,,,
168,168,168,105503439,Piso en venta en paseo de Manuel Girona,Pedralbes,Barcelona,1450000.0,1450000,0,180.0,4.0,Planta 9ª exterior con ascensor,True,True,False,True,True,True,True,True,False,Buen estado,,,
169,169,169,105626224,Piso en venta en Pedralbes,Les Corts,Barcelona,1550000.0,1550000,0,252.0,4.0,Planta 8ª con ascensor,False,True,False,True,False,False,False,False,False,Buen estado,,,
170,170,170,105439346,Piso en venta en avenida de Madrid,Les Corts,Barcelona,615000.0,615000,0,110.0,4.0,Planta 7ª exterior con ascensor,False,True,False,True,False,True,False,False,False,Buen estado,131,39,
171,171,171,105530110,Piso en venta en Pedralbes,Les Corts,Barcelona,2000000.0,2000000,0,280.0,5.0,Planta 3ª,False,False,False,False,False,False,False,False,False,Buen estado,,,
172,172,172,100374068,Ático en venta en calle Gandesa,Les Corts,Barcelona,1790000.0,1790000,0,330.0,4.0,Planta 8ª exterior con ascensor,True,True,False,True,False,True,True,False,False,Buen estado,,,
173,173,173,105236225,Piso en venta en calle d'Anglesola,Les Corts,Barcelona,491000.0,491000,0,76.0,2.0,Planta 1ª exterior con ascensor,True,False,True,True,True,True,True,False,False,Buen estado,,,
174,174,174,105846512,Piso en venta en Les Corts,Les Corts,Barcelona,1000000.0,1000000,0,175.0,4.0,Planta 3ª exterior con ascensor,True,False,True,True,False,True,False,False,False,Buen estado,,,
