id,title,location,city,price,original_price,discount,m2,rooms,air,terrace,storage,garage,outside,wardrobes,pool,garden,status,satus,has_elevator,property_type,floor_number,price_m2,cluster
104978149,Piso en venta en Sant Pere - Santa Caterina i la Ribera,Ciutat,"Vella,",1145000.0,1245000,0,115.0,2.0,1,1,0,0,1,0,1,0,0,,1,2,1.0,9956.521739130434,0
105285661,Piso en venta en El Raval,Ciutat,"Vella,",495000.0,560000,0,176.0,6.0,0,0,0,0,1,0,0,0,0,,1,2,4.0,2812.5,2
105424870,Piso en venta en El Raval,Ciutat,"Vella,",495000.0,495000,0,81.0,1.0,1,1,1,0,1,0,1,0,0,,1,2,3.0,6111.111111111111,0
102524321,Piso en venta en El Raval,Ciutat,"Vella,",379000.0,379000,0,60.0,2.0,1,1,0,0,1,0,0,0,0,,1,2,1.0,6316.666666666667,0
105093875,Piso en venta en La Barceloneta,Ciutat,"Vella,",430000.0,430000,0,84.0,3.0,0,0,0,0,1,0,0,0,0,,1,2,2.0,5119.047619047619,2
105485366,Piso en venta en Sant Pere - Santa Caterina i la Ribera,Ciutat,"Vella,",745000.0,745000,0,131.0,3.0,1,0,0,0,1,0,0,0,0,,0,2,1.0,5687.022900763359,2
102524321,Piso en venta en El Raval,Ciutat,"Vella,",379000.0,379000,0,60.0,2.0,1,1,0,0,1,0,0,0,0,,1,2,1.0,6316.666666666667,0
104700752,Piso en venta en El Raval,Ciutat,"Vella,",429000.0,429000,0,127.0,3.0,0,0,0,0,1,0,0,0,0,,0,0,2.0,3377.952755905512,3
105626635,Piso en venta en calle dels Lledó,El,"Gòtic,",465000.0,465000,0,78.0,1.0,1,0,0,0,1,0,0,0,0,,1,2,1.0,5961.538461538462,0
105892258,Piso en venta en Sant Pere - Santa Caterina i la Ribera,Ciutat,"Vella,",230000.0,230000,0,60.0,1.0,0,0,0,0,1,0,0,0,0,,0,0,2.0,3833.3333333333335,3
103458737,Piso en venta en Sant Pere - Santa Caterina i la Ribera,Ciutat,"Vella,",349000.0,349000,0,77.0,2.0,1,0,0,0,1,0,0,0,0,,0,2,2.0,4532.467532467533,2
105521758,Piso en venta en La Barceloneta,Ciutat,"Vella,",445000.0,450000,0,69.0,2.0,1,0,0,0,1,0,0,0,0,,1,2,1.0,6449.275362318841,0
98268885,Piso en venta en calle de Trafalgar,Sant,Pere,650000.0,650000,0,111.0,1.0,0,1,0,0,1,1,0,0,0,,0,2,1.0,5855.855855855856,2
105584102,Piso en venta en calle de la Lluna,El,"Raval,",125000.0,149000,0,46.0,2.0,0,0,0,0,1,0,0,0,0,,0,2,1.0,2717.391304347826,2
105941789,Piso en venta en calle del Carme,El,"Raval,",390000.0,390000,0,107.0,4.0,1,1,0,0,1,1,0,0,0,,0,0,2.0,3644.859813084112,0
105707981,Piso en venta en El Gòtic,Ciutat,"Vella,",420000.0,420000,0,113.0,4.0,0,0,1,0,1,0,0,0,0,,0,2,2.0,3716.814159292036,2
103637811,Piso en venta en Sant Pere - Santa Caterina i la Ribera,Ciutat,"Vella,",690000.0,690000,0,90.0,1.0,1,0,0,0,1,1,0,0,0,,1,2,1.0,7666.666666666667,0
105585593,Piso en venta en El Gòtic,Ciutat,"Vella,",760000.0,760000,0,141.0,3.0,0,0,0,0,1,0,0,0,0,,1,2,2.0,5390.070921985815,2
104300401,Piso en venta en El Raval,Ciutat,"Vella,",950000.0,950000,0,258.0,5.0,1,0,1,0,1,1,0,0,0,,0,0,2.0,3682.170542635659,0
104674554,Piso en venta en calle de Rull,El,"Gòtic,",595000.0,595000,0,121.0,2.0,0,0,0,0,1,0,0,0,0,,1,2,4.0,4917.355371900827,2
105444007,Piso en venta en plaza de Pompeu Gener s/n,La,"Barceloneta,",575000.0,585000,0,106.0,3.0,1,1,0,0,0,0,0,0,0,,0,0,1.0,5424.528301886792,3
104531918,Piso en venta en El Gòtic,Ciutat,"Vella,",565000.0,565000,0,118.0,3.0,1,0,0,0,1,0,0,0,0,,1,2,2.0,4788.135593220339,0
99447795,Piso en venta en Placeta d'Anna Murìa,El,"Raval,",360000.0,360000,0,54.0,1.0,1,1,0,0,1,1,0,0,0,,1,2,1.0,6666.666666666667,0
105384554,Piso en venta en calle de Santa Anna,El,"Gòtic,",390000.0,390000,0,103.0,4.0,0,0,0,0,1,0,0,0,0,,0,2,4.0,3786.4077669902913,2
105402886,Piso en venta en calle Nou de la Rambla,El,"Raval,",255000.0,255000,0,51.0,1.0,0,0,0,0,1,0,0,0,0,,0,2,1.0,5000.0,2
100275970,Ático en venta en calle d'En Giralt el Pellicer,Sant,Pere,245000.0,245000,0,43.0,1.0,1,0,0,0,1,1,0,0,0,,0,2,4.0,5697.674418604651,0
103947881,Piso en venta en calle del Tigre,El,"Raval,",375000.0,375000,0,49.0,2.0,1,0,0,0,1,0,0,0,0,,0,2,2.0,7653.061224489796,2
104144602,Piso en venta en calle de Sant Carles,La,"Barceloneta,",430000.0,430000,0,84.0,3.0,1,0,0,0,1,0,0,0,0,,1,2,2.0,5119.047619047619,0
105130665,Piso en venta en calle de la Princesa,Sant,Pere,1400000.0,1400000,0,120.0,3.0,1,1,1,1,1,1,0,0,0,,1,2,5.0,11666.666666666666,1
105660332,Piso en venta en calle de les Basses de Sant Pere,Sant,Pere,260000.0,260000,0,38.0,1.0,1,0,0,0,1,0,0,0,0,,0,2,2.0,6842.105263157895,2
105450644,Piso en venta en calle de Vinaròs,La,"Barceloneta,",215000.0,215000,0,34.0,1.0,1,0,0,0,0,0,0,0,0,,0,1,0.0,6323.529411764706,3
105117965,Piso en venta en calle de la Comtessa de Sobradiel,El,"Gòtic,",760000.0,760000,0,141.0,3.0,0,0,0,0,1,0,0,0,0,,1,2,2.0,5390.070921985815,2
105731743,Piso en venta en calle de Colom,El,"Gòtic,",485000.0,485000,0,61.0,2.0,1,0,0,0,1,1,0,0,0,,1,2,2.0,7950.819672131148,0
105304084,Piso en venta en Passatge del Patriarca,El,"Gòtic,",690000.0,690000,0,133.0,3.0,1,1,0,0,1,1,1,0,0,,0,0,2.0,5187.969924812031,1
105570310,Piso en venta en calle de l'Hostal d'en Sol,El,"Gòtic,",499000.0,499000,0,86.0,2.0,1,1,0,0,1,1,0,0,0,,0,0,2.0,5802.325581395349,0
103883897,Ático en venta en Sant Pere - Santa Caterina i la Ribera,Ciutat,"Vella,",420000.0,420000,0,69.0,1.0,1,1,0,0,1,1,0,0,0,,0,2,5.0,6086.95652173913,0
105113524,Ático en venta en El Gòtic,Ciutat,"Vella,",450000.0,450000,0,52.0,1.0,1,1,0,0,1,0,0,0,0,,1,2,4.0,8653.846153846154,0
105107078,"Dúplex en venta en calle d'En Llàstics, 15 -7",Sant,Pere,497000.0,548000,0,164.0,3.0,1,0,0,1,0,0,0,0,0,,0,0,1.0,3030.487804878049,3
105593998,Ático en venta en calle de la Mercè,El,"Gòtic,",340000.0,360000,0,86.0,3.0,0,1,0,0,1,0,0,0,0,,0,2,3.0,3953.488372093024,2
102114839,Ático en venta en calle de la Riereta,El,"Raval,",515000.0,515000,0,93.0,2.0,1,1,0,0,1,1,1,0,0,,1,2,4.0,5537.634408602151,0
102114811,Ático en venta en calle de la Riereta,El,"Raval,",535000.0,535000,0,93.0,2.0,1,1,0,0,1,1,1,0,0,,1,2,4.0,5752.688172043011,0
